timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 13:26:04.146, 0, 3 %, 24 %, 1296 MiB, 12282 MiB, 210 MHz, 7.62 W, 29
2025/09/12 13:26:05.151, 0, 4 %, 22 %, 1297 MiB, 12282 MiB, 210 MHz, 8.34 W, 29
2025/09/12 13:26:06.157, 0, 3 %, 30 %, 1297 MiB, 12282 MiB, 210 MHz, 8.89 W, 29
2025/09/12 13:26:07.162, 0, 3 %, 29 %, 1297 MiB, 12282 MiB, 210 MHz, 8.47 W, 29
2025/09/12 13:26:08.168, 0, 3 %, 23 %, 1297 MiB, 12282 MiB, 210 MHz, 7.77 W, 29
2025/09/12 13:26:09.173, 0, 4 %, 30 %, 1317 MiB, 12282 MiB, 210 MHz, 7.78 W, 29
2025/09/12 13:26:10.177, 0, 4 %, 21 %, 1312 MiB, 12282 MiB, 210 MHz, 8.50 W, 29
2025/09/12 13:26:11.181, 0, 5 %, 15 %, 1314 MiB, 12282 MiB, 210 MHz, 9.15 W, 29
2025/09/12 13:26:12.186, 0, 3 %, 18 %, 1314 MiB, 12282 MiB, 210 MHz, 8.77 W, 29
2025/09/12 13:26:13.190, 0, 3 %, 30 %, 1314 MiB, 12282 MiB, 210 MHz, 7.85 W, 29
2025/09/12 13:26:14.194, 0, 3 %, 32 %, 1297 MiB, 12282 MiB, 210 MHz, 7.94 W, 29
2025/09/12 13:26:15.199, 0, 4 %, 25 %, 1298 MiB, 12282 MiB, 210 MHz, 8.74 W, 29
2025/09/12 13:26:16.202, 0, 4 %, 17 %, 1298 MiB, 12282 MiB, 210 MHz, 9.18 W, 29
2025/09/12 13:26:17.206, 0, 4 %, 17 %, 1289 MiB, 12282 MiB, 210 MHz, 8.62 W, 29
2025/09/12 13:26:18.210, 0, 4 %, 18 %, 1298 MiB, 12282 MiB, 210 MHz, 7.98 W, 29
2025/09/12 13:26:19.215, 0, 4 %, 18 %, 1298 MiB, 12282 MiB, 210 MHz, 8.39 W, 29
2025/09/12 13:26:20.218, 0, 5 %, 19 %, 1302 MiB, 12282 MiB, 210 MHz, 9.12 W, 29
2025/09/12 13:26:22.225, 0, 5 %, 18 %, 1298 MiB, 12282 MiB, 210 MHz, 9.22 W, 29
2025/09/12 13:26:23.234, 0, 4 %, 18 %, 1298 MiB, 12282 MiB, 210 MHz, 8.61 W, 29
2025/09/12 13:26:24.242, 0, 4 %, 18 %, 1293 MiB, 12282 MiB, 210 MHz, 8.13 W, 29
2025/09/12 13:26:25.248, 0, 4 %, 17 %, 1290 MiB, 12282 MiB, 210 MHz, 8.54 W, 29
2025/09/12 13:26:26.258, 0, 5 %, 18 %, 1290 MiB, 12282 MiB, 210 MHz, 9.25 W, 29
2025/09/12 13:26:27.262, 0, 6 %, 15 %, 1290 MiB, 12282 MiB, 210 MHz, 9.35 W, 29
2025/09/12 13:26:28.265, 0, 5 %, 19 %, 1295 MiB, 12282 MiB, 210 MHz, 8.53 W, 29
2025/09/12 13:26:29.272, 0, 3 %, 16 %, 1295 MiB, 12282 MiB, 210 MHz, 8.07 W, 29
2025/09/12 13:26:30.276, 0, 3 %, 17 %, 1303 MiB, 12282 MiB, 210 MHz, 8.58 W, 29
2025/09/12 13:26:31.280, 0, 4 %, 17 %, 1303 MiB, 12282 MiB, 210 MHz, 9.24 W, 29
2025/09/12 13:26:32.286, 0, 7 %, 20 %, 1321 MiB, 12282 MiB, 210 MHz, 9.05 W, 29
2025/09/12 13:26:33.291, 0, 4 %, 29 %, 1311 MiB, 12282 MiB, 210 MHz, 7.95 W, 29
2025/09/12 13:26:34.298, 0, 7 %, 24 %, 1325 MiB, 12282 MiB, 210 MHz, 7.87 W, 29
2025/09/12 13:26:35.303, 0, 3 %, 20 %, 1343 MiB, 12282 MiB, 210 MHz, 8.82 W, 29
2025/09/12 13:26:36.309, 0, 3 %, 31 %, 1343 MiB, 12282 MiB, 210 MHz, 8.85 W, 29
2025/09/12 13:26:37.314, 0, 3 %, 36 %, 1341 MiB, 12282 MiB, 210 MHz, 8.41 W, 29
2025/09/12 13:26:38.320, 0, 1 %, 1 %, 1332 MiB, 12282 MiB, 2610 MHz, 22.11 W, 30
2025/09/12 13:26:39.323, 0, 2 %, 1 %, 1313 MiB, 12282 MiB, 2610 MHz, 30.83 W, 30
2025/09/12 13:26:40.326, 0, 2 %, 1 %, 1288 MiB, 12282 MiB, 2610 MHz, 31.57 W, 30
2025/09/12 13:26:41.328, 0, 2 %, 2 %, 1258 MiB, 12282 MiB, 540 MHz, 28.72 W, 30
2025/09/12 13:26:42.332, 0, 2 %, 7 %, 1264 MiB, 12282 MiB, 345 MHz, 18.10 W, 30
2025/09/12 13:26:43.335, 0, 1 %, 1 %, 1278 MiB, 12282 MiB, 2610 MHz, 25.99 W, 30
2025/09/12 13:26:44.339, 0, 1 %, 1 %, 1284 MiB, 12282 MiB, 2610 MHz, 30.21 W, 30
2025/09/12 13:26:45.341, 0, 1 %, 1 %, 1283 MiB, 12282 MiB, 2610 MHz, 31.22 W, 30
2025/09/12 13:26:46.344, 0, 1 %, 9 %, 1281 MiB, 12282 MiB, 480 MHz, 23.63 W, 30
2025/09/12 13:26:47.350, 0, 2 %, 11 %, 1282 MiB, 12282 MiB, 300 MHz, 14.33 W, 30
2025/09/12 13:26:48.353, 0, 42 %, 41 %, 1298 MiB, 12282 MiB, 2610 MHz, 11.27 W, 29
2025/09/12 13:26:49.356, 0, 2 %, 1 %, 1299 MiB, 12282 MiB, 2610 MHz, 31.03 W, 30
2025/09/12 13:26:50.358, 0, 1 %, 1 %, 1301 MiB, 12282 MiB, 2610 MHz, 31.82 W, 31
2025/09/12 13:26:51.361, 0, 1 %, 1 %, 1334 MiB, 12282 MiB, 2610 MHz, 31.73 W, 31
2025/09/12 13:26:52.364, 0, 0 %, 1 %, 1334 MiB, 12282 MiB, 435 MHz, 24.69 W, 30
2025/09/12 13:26:53.374, 0, 1 %, 9 %, 1335 MiB, 12282 MiB, 285 MHz, 17.13 W, 30
2025/09/12 13:26:55.387, 0, 1 %, 1 %, 1311 MiB, 12282 MiB, 2610 MHz, 23.33 W, 31
