procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13737636 659532 8403708    0    0     0     0 2629 2444  6  3 91  1  0
 0  0      0 13732972 659532 8403740    0    0     0    84 2768 2938  1  2 97  0  0
 0  0      0 13737436 659532 8403740    0    0     0    36 2342 1968  1  1 99  0  0
 0  0      0 13735168 659532 8403780    0    0     0    92 1595 1359  0  0 99  0  0
 1  0      0 13735168 659532 8403760    0    0     0     0 1263 1148  2  0 98  0  0
 0  0      0 13735168 659532 8403764    0    0     0     0  854  662  0  0 100  0  0
 0  0      0 13732900 659532 8403784    0    0     0     0  885  743  0  0 99  0  0
 0  0      0 13731644 659532 8403812    0    0     0    76  740  671  0  0 100  0  0
 0  0      0 13731644 659532 8403812    0    0     0    88  779  667  0  0 100  0  0
 0  0      0 13731644 659532 8403816    0    0     0     0  787  676  0  0 99  0  0
 0  0      0 13731644 659532 8403792    0    0     0     0  711  647  0  0 100  0  0
 0  0      0 13731644 659532 8403796    0    0     0     0  727  621  0  0 100  0  0
 0  0      0 13731644 659540 8403816    0    0     0    60  797  716  0  0 100  0  0
 0  0      0 13730384 659540 8403804    0    0     0    56  984  771  1  0 99  0  0
 0  0      0 13730384 659540 8403812    0    0     0     0  691  609  0  0 100  0  0
 0  0      0 13730384 659540 8403836    0    0     0     0  697  632  0  0 100  0  0
 0  0      0 13730384 659540 8403828    0    0     0     0  723  651  0  0 100  0  0
 0  0      0 13730384 659540 8403832    0    0     0     0  604  555  0  0 100  0  0
 0  0      0 13806880 659544 8403836    0    0     0    92  750  695  0  0 100  0  0
 0  0      0 13806628 659544 8403832    0    0     0     0  711  713  0  0 100  0  0
 0  0      0 13806628 659544 8403832    0    0     0     0  763  640  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13806376 659544 8403844    0    0     0     0  702  616  0  0 100  0  0
 0  0      0 13806376 659544 8403848    0    0     0     0  625  575  0  0 100  0  0
 0  0      0 13805620 659552 8403848    0    0     0    60  696  611  0  0 100  0  0
 0  0      0 13805620 659552 8403844    0    0     0    60  729  647  0  0 100  0  0
 0  0      0 13805620 659552 8403860    0    0     0     0  653  591  0  0 100  0  0
 0  0      0 13805620 659552 8403860    0    0     0     0  628  552  0  0 100  0  0
 0  0      0 13805620 659552 8403860    0    0     0     0  676  592  0  0 100  0  0
 1  0      0 13805620 659556 8403856    0    0     0    48  749  658  0  0 100  0  0
 0  0      0 13805620 659556 8403856    0    0     0    40  616  535  0  0 100  0  0
 0  0      0 13803612 659556 8403876    0    0     0     0  834  649  0  2 98  0  0
 0  0      0 13803612 659556 8403876    0    0     0     0  645  588  0  0 100  0  0
 0  0      0 13803612 659556 8403876    0    0     0     0  675  579  0  0 100  0  0
 0  0      0 13803612 659556 8403880    0    0     0   132  663  594  0  0 100  0  0
 0  0      0 13803360 659556 8403892    0    0     0    48  683  631  0  0 100  0  0
 0  0      0 13803360 659556 8403892    0    0     0     0  717  601  0  0 100  0  0
 0  0      0 13803360 659556 8403892    0    0     0     0  686  620  0  0 100  0  0
 0  0      0 13803360 659556 8403884    0    0     0     0  641  609  0  0 100  0  0
 0  0      0 13803360 659560 8403892    0    0     0    72  650  582  0  0 100  0  0
 0  0      0 13803360 659560 8403904    0    0     0    64  717  616  0  0 100  0  0
 0  0      0 13803360 659560 8403908    0    0     0     0  699  638  0  0 100  0  0
 0  0      0 13803360 659560 8403908    0    0     0     0  716  596  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13803360 659560 8403916    0    0     0     0  725  616  0  0 100  0  0
 0  0      0 13803360 659564 8403916    0    0     0    48  711  647  0  0 100  0  0
 0  0      0 13803360 659564 8403928    0    0     0     0  710  627  0  0 100  0  0
 0  0      0 13803360 659564 8403928    0    0     0    56  684  645  0  0 100  0  0
 0  0      0 13802100 659564 8403924    0    0     0     0  780  727  0  0 100  0  0
 0  0      0 13802100 659564 8403924    0    0     0     0  610  572  0  0 100  0  0
 0  0      0 13802100 659568 8403936    0    0     0    64  708  667  0  0 100  0  0
 0  0      0 13802100 659568 8403936    0    0     0     0  658  596  0  0 100  0  0
 0  0      0 13802100 659568 8403940    0    0     0    56  651  588  0  0 100  0  0
 0  0      0 13802296 659568 8403940    0    0     0     0  781  672  0  0 99  0  0
 0  0      0 13805040 659568 8403948    0    0     0     0  750  641  0  0 100  0  0
 0  0      0 13804788 659576 8403948    0    0     0    52  668  613  0  0 100  0  0
 0  0      0 13804788 659576 8403956    0    0     0     0  683  662  0  0 100  0  0
 0  0      0 13804788 659576 8403960    0    0     0    56  718  609  0  0 100  0  0
 0  0      0 13804788 659576 8403960    0    0     0     0  661  582  0  0 100  0  0
