timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 12:51:09.772, 0, 11 %, 4 %, 3519 MiB, 12282 MiB, 1350 MHz, 33.56 W, 40
2025/09/12 12:51:10.776, 0, 41 %, 17 %, 3514 MiB, 12282 MiB, 1095 MHz, 40.45 W, 40
2025/09/12 12:51:11.778, 0, 23 %, 10 %, 3514 MiB, 12282 MiB, 1395 MHz, 41.95 W, 39
2025/09/12 12:51:12.782, 0, 9 %, 4 %, 3519 MiB, 12282 MiB, 1395 MHz, 38.19 W, 40
2025/09/12 12:51:13.785, 0, 11 %, 4 %, 3519 MiB, 12282 MiB, 1260 MHz, 35.39 W, 39
2025/09/12 12:51:14.789, 0, 14 %, 5 %, 3519 MiB, 12282 MiB, 1260 MHz, 32.26 W, 38
2025/09/12 12:51:15.792, 0, 29 %, 9 %, 3514 MiB, 12282 MiB, 1185 MHz, 37.98 W, 39
2025/09/12 12:51:16.796, 0, 13 %, 5 %, 3519 MiB, 12282 MiB, 1185 MHz, 28.92 W, 39
2025/09/12 12:51:17.799, 0, 64 %, 16 %, 3514 MiB, 12282 MiB, 945 MHz, 31.31 W, 38
2025/09/12 12:51:18.803, 0, 13 %, 4 %, 3519 MiB, 12282 MiB, 1125 MHz, 36.13 W, 39
2025/09/12 12:51:19.806, 0, 14 %, 4 %, 3514 MiB, 12282 MiB, 630 MHz, 29.50 W, 38
2025/09/12 12:51:20.818, 0, 16 %, 8 %, 3514 MiB, 12282 MiB, 2610 MHz, 33.97 W, 38
2025/09/12 12:51:21.822, 0, 9 %, 2 %, 3519 MiB, 12282 MiB, 2610 MHz, 41.32 W, 39
2025/09/12 12:51:22.826, 0, 13 %, 4 %, 3514 MiB, 12282 MiB, 855 MHz, 32.41 W, 39
